client_id;dt;total_add_count;total_click_count;total_view_count
714104131;21.06.2024;7;1;0
711603212;21.06.2024;7;0;0
709578870;21.06.2024;7;3;2
696368527;21.06.2024;7;3;3
692285115;21.06.2024;7;1;0
690204067;21.06.2024;7;3;0
686053399;21.06.2024;7;1;6
684688846;21.06.2024;7;1;0
682948785;21.06.2024;7;4;1
682424845;21.06.2024;7;0;0
682162170;21.06.2024;7;0;0
681821456;21.06.2024;7;1;0
681450235;21.06.2024;7;2;0
681221735;21.06.2024;7;1;0
681200212;21.06.2024;7;1;5
679260211;21.06.2024;7;0;0
678811586;21.06.2024;7;1;0
678751039;21.06.2024;7;8;10
678242764;21.06.2024;7;9;9
677709948;21.06.2024;7;3;0
677527979;21.06.2024;7;3;1
676832367;21.06.2024;7;2;2
676823127;21.06.2024;7;1;0
676735489;21.06.2024;7;0;2
676588421;21.06.2024;7;2;1
676587603;21.06.2024;7;1;0
676444997;21.06.2024;7;2;3
676401505;21.06.2024;7;2;2
676400849;21.06.2024;7;1;0
676331373;21.06.2024;7;0;0
676223046;21.06.2024;7;0;2
676070973;21.06.2024;7;0;3
675883187;21.06.2024;7;1;2
675222679;21.06.2024;7;2;1
673882283;21.06.2024;7;1;4
672790223;21.06.2024;7;11;2
672069851;21.06.2024;7;1;0
671005283;21.06.2024;7;12;6
670909893;21.06.2024;7;2;0
668737286;21.06.2024;7;1;0
668649879;21.06.2024;7;1;0
668619105;21.06.2024;7;2;2
638325993;21.06.2024;7;1;0
561409996;21.06.2024;7;1;0
556294524;21.06.2024;7;2;4
550212843;21.06.2024;7;1;0
549867457;21.06.2024;7;5;0
548762454;21.06.2024;7;1;0
548017658;21.06.2024;7;2;0
546137506;21.06.2024;7;1;0
545764754;21.06.2024;7;2;2
545641691;21.06.2024;7;2;0
545313371;21.06.2024;7;3;0
544774590;21.06.2024;7;4;1
544643330;21.06.2024;7;1;2
544529208;21.06.2024;7;3;5
544081423;21.06.2024;7;5;0
542835237;21.06.2024;7;4;3
542557723;21.06.2024;7;1;5
541833370;21.06.2024;7;0;0
541484727;21.06.2024;7;5;2
541421042;21.06.2024;7;2;3
540549149;21.06.2024;7;4;0
540349774;21.06.2024;7;1;0
540164636;21.06.2024;7;2;2
537575297;21.06.2024;7;5;0
528843670;21.06.2024;7;2;0
501858742;21.06.2024;7;4;0
147208032;21.06.2024;7;6;2
94842889;21.06.2024;7;0;2
73163218;21.06.2024;7;2;4
72529240;21.06.2024;7;2;5
71939486;21.06.2024;7;0;3
71635815;21.06.2024;7;2;2
71437101;21.06.2024;7;2;0
70455692;21.06.2024;7;2;3
70163833;21.06.2024;7;7;0
70032175;21.06.2024;7;1;3
69850420;21.06.2024;7;1;5
69775613;21.06.2024;7;2;1
69741985;21.06.2024;7;3;4
69530362;21.06.2024;7;2;0
69045290;21.06.2024;7;0;0
68975854;21.06.2024;7;1;1
67326317;21.06.2024;7;0;0
